crash_date,borough,latitude,longitude,number_of_persons_injured,contributing_factor_vehicle_1
2021-09-11T00:00:00.000,,40.599503,-74.067116,0,Unspecified
2021-07-04T00:00:00.000,BRONX,40.822456,-73.868065,0,Unspecified
2021-09-11T00:00:00.000,BROOKLYN,40.59841,-73.97592,0,Driver Inattention/Distraction
2021-09-11T00:00:00.000,QUEENS,40.697083,-73.85476,0,Passing Too Closely
2021-07-08T00:00:00.000,BRONX,40.896385,-73.87246,0,Turning Improperly
2021-08-11T00:00:00.000,,40.695637,-73.80372,0,Unsafe Speed
2021-09-11T00:00:00.000,,40.69982,-73.996254,0,Passing Too Closely
2021-09-11T00:00:00.000,,40.590313,-74.09794,0,Passing or Lane Usage Improper
2021-09-11T00:00:00.000,,40.787544,-73.82394,0,Failure to Yield Right-of-Way
2021-09-11T00:00:00.000,BROOKLYN,40.67539,-73.88113,0,Driver Inattention/Distraction
2021-09-07T00:00:00.000,STATEN ISLAND,40.634007,-74.07516,1,Driver Inattention/Distraction
2021-09-11T00:00:00.000,QUEENS,40.73844,-73.88628,0,Backing Unsafely
2021-07-08T00:00:00.000,,40.60855,-74.13216,2,Driver Inattention/Distraction
2021-09-11T00:00:00.000,,40.58573,-74.16865,0,Driver Inattention/Distraction
2021-09-11T00:00:00.000,BROOKLYN,40.599907,-73.94664,1,Unspecified
2021-07-08T00:00:00.000,MANHATTAN,40.806713,-73.93782,0,Driver Inexperience
